"處理時間","報表類型","動作","原始路徑","目標路徑","統計開始日","統計結束日","產出時間","檔案大小","結果","備註"
2026-09-10 17:07:24,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_160515.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260910_160515.png,20260901,20260930,20260910_160515,398847,成功,
2026-09-10 17:07:24,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260910_170724.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_170724.png,20260901,20260930,20260910_170724,399440,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-10 17:16:51,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_170724.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260910_170724.png,20260901,20260930,20260910_170724,399440,成功,
2026-09-10 17:16:51,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260910_171651.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_171651.png,20260901,20260930,20260910_171651,399090,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-11 10:26:19,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_171651.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260910_171651.png,20260901,20260930,20260910_171651,399090,成功,
2026-09-11 10:26:19,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260911_102618.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_102618.png,20260901,20260930,20260911_102618,401826,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-11 10:53:35,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_102618.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260911_102618.png,20260901,20260930,20260911_102618,401826,成功,
2026-09-11 10:53:35,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260911_105334.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_105334.png,20260901,20260930,20260911_105334,401868,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-11 11:12:01,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_105334.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260911_105334.png,20260901,20260930,20260911_105334,401868,成功,
2026-09-11 11:12:01,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260911_111200.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_111200.png,20260901,20260930,20260911_111200,401426,成功,已驗證 PNG 並放入 LINE 待發區
